Year,id,Country Name,lnTHE,lnNCDs,lnSFI,lnIWR,lnOD,OD,THE
2000,27,"Congo, Dem. Rep.",1.348663364,2.895911938,3.122364924,3.852273001,2.564949357,12.99999999,18.15912265
2012,27,"Congo, Dem. Rep.",1.371088885,3.152736022,3.317815773,3.939638172,2.370243741,10.69999999,14.7111428
2000,28,"Congo, Rep.",1.443855675,3.144152279,2.541601993,4.237000863,2.151762203,8.599999998,22.00668395
2012,28,"Congo, Rep.",1.463597967,3.404525172,2.681021529,4.321480135,2.104134154,8.199999998,126.8917411
2000,29,Costa Rica,1.516209937,4.370712875,4.515245478,4.55492897,0.09531018,1.1,289.4074399
2012,29,Costa Rica,1.521666766,4.416428061,4.54648119,4.579852378,-2.302585093,0.1,930.4819977
2000,30,Cote d'Ivoire,1.471422413,3.04927304,2.867898902,4.355425953,3.493472658,32.90000001,38.93627736
2012,30,Cote d'Ivoire,1.480903215,3.424262655,3.072693315,4.396915247,3.314186005,27.50000001,78.71820381
2000,31,Cuba,1.505510639,4.378269586,4.462453884,4.506454213,0.587786665,1.8,166.3347149
2012,31,Cuba,1.513886474,4.448516376,4.529368473,4.544358047,-0.356674944,0.7,554.7213868
2000,32,Djibouti,1.483958837,3.417726684,4.085976313,4.410371108,2.90690106,18.3,44.26610628
2012,32,Djibouti,1.503788008,3.589059119,3.856510295,4.498697941,3.005682604,20.19999999,141.9710857
2000,33,Dominican Republic,1.495957099,4.087655574,4.350277936,4.463606622,1.931521412,6.900000003,163.0545726
2012,33,Dominican Republic,1.492307536,4.254193263,4.417635062,4.447346101,1.223775432,3.400000001,253.7952971
2000,34,Ecuador,1.476653575,4.091005661,4.244200318,4.378269586,2.602689685,13.49999999,49.00947089
2012,34,Ecuador,1.493619308,4.204692619,4.416428061,4.453183829,1.686398954,5.400000002,368.1986819
2000,35,"Egypt, Arab Rep.",1.518047357,4.348986781,4.434381865,4.563305982,1.547562509,4.700000001,77.72252202
2012,35,"Egypt, Arab Rep.",1.524554656,4.439115602,4.550714,4.593097605,-4.605170186,0.01,160.7647657
2000,36,El Salvador,1.482020196,4.053522568,4.133565275,4.401829262,2.379546134,10.8,184.6409377
2012,36,El Salvador,1.50794353,4.151039906,4.284964922,4.517431272,1.335001067,3.800000001,262.9299445
2000,37,Equatorial Guinea,1.349762706,3.321432413,4.384523515,3.856510295,1.481604541,4.4,53.84462574
2012,37,Equatorial Guinea,1.351943932,3.440418095,4.316153891,3.864931398,1.481604541,4.4,852.457786
2000,38,Eritrea,1.369103856,2.821378886,2.433613355,3.931825633,4.453183829,85.9,8.860903264
2012,38,Eritrea,1.399157512,3.602776755,2.727852828,4.051784948,4.356708827,78.00000002,18.81139232
2000,39,Gabon,1.488045798,3.446807893,3.658420247,4.428433007,0.693147181,2.000000001,118.8916886
2012,39,Gabon,1.509387745,3.594568775,3.723280881,4.523960131,0.587786665,1.8,343.2419761
2000,40,"Gambia, The",1.485057573,3.284663565,4.08933202,4.415219602,1.62924054,5.100000001,23.02191333
2012,40,"Gambia, The",1.504281857,3.453157121,4.072439727,4.500920165,0.641853886,1.9,30.9177855
2000,41,Georgia,1.502298368,4.517431272,4.561218298,4.492001488,0.09531018,1.1,44.98843069
2012,41,Georgia,1.523449436,4.537961436,4.478472533,4.588024027,0.09531018,1.1,327.6879033
2000,42,Ghana,1.448238749,3.370738174,2.332143895,4.25561271,3.054001182,21.20000001,12.26656522
2012,42,Ghana,1.492307536,3.725693427,2.667228207,4.447346101,2.985681938,19.80000001,78.6432553
2000,43,Guatemala,1.488315069,3.6558396,4.000033883,4.429625613,2.646174797,14.09999999,86.66688027
2012,43,Guatemala,1.508907618,3.854393893,4.141546164,4.521788577,1.774952351,5.900000001,207.515409
2000,44,Guinea,1.420299924,3.104586678,2.557227311,4.138361448,3.404525172,30.10000001,11.76528967
2012,44,Guinea,1.462055119,3.430756184,2.939161922,4.314817885,2.844909384,17.2,26.27447832
2000,45,Guyana,1.49440189,4.128745989,4.371976299,4.456670178,0.641853886,1.9,56.14636614
2012,45,Guyana,1.518047357,4.201703081,4.42604352,4.563305982,-1.203972804,0.3,246.8071168
2000,46,Haiti,1.41283643,3.580737295,3.044522438,4.107589789,3.632309103,37.80000001,25.96795586
2012,46,Haiti,1.403403844,3.873282177,3.284663565,4.069026754,3.063390922,21.4,75.12031033
2000,47,Honduras,1.47977946,3.906004933,4.147885329,4.391976966,3.015534901,20.4,76.28351691
2012,47,Honduras,1.502298368,4.107589789,4.382026635,4.492001488,1.916922612,6.799999999,234.233894
2000,48,India,1.479215018,3.879499814,3.242592351,4.38949865,4.147885329,63.29999999,19.60910784
2012,48,India,1.509387745,4.091005661,3.624340933,4.523960131,3.856510295,47.29999998,64.92645949
2000,49,Indonesia,1.471422413,4.119037175,3.852273001,4.355425953,3.421000009,30.6,15.43281431
2012,49,Indonesia,1.493095724,4.266896327,4.074141855,4.450852826,3.086486637,21.9,107.2363769
2000,50,"Iran, Islamic Rep.",1.513886474,4.244200318,4.368181228,4.544358047,-0.356674944,0.7,229.4997731
2012,50,"Iran, Islamic Rep.",1.51827572,4.335982696,4.49535532,4.564348191,-1.609437912,0.2,510.5928364
2000,51,Jamaica,1.512477888,4.238444906,4.390738575,4.537961436,-0.223143551,0.8,199.9443212
2012,51,Jamaica,1.513183555,4.368181228,4.403054002,4.541164856,-0.223143551,0.8,302.9207124
2000,52,Jordan,1.520092248,4.252771799,4.582924577,4.572646994,-0.510825624,0.6,171.3388509
2012,52,Jordan,1.520318027,4.325456283,4.591071262,4.573679519,-4.605170186,0.01,354.0558829
2000,53,Kazakhstan,1.513183555,4.355425953,4.572646994,4.541164856,-0.693147181,0.5,50.81343347
2012,53,Kazakhstan,1.511532689,4.42604352,4.579852378,4.533674184,-4.605170186,0.01,521.6400627
2000,54,Kenya,1.373054639,2.850706502,3.292126287,3.947390149,2.772588722,16,19.15153877
2012,54,Kenya,1.416013799,3.280911216,3.387774361,4.120661871,2.533696814,12.6,65.05859335
2000,55,Kyrgyz Republic,1.472890302,4.314817885,4.519612298,4.361823927,-1.609437912,0.2,12.90954584
2012,55,Kyrgyz Republic,1.498010362,4.382026635,4.532599493,4.472780998,-4.605170186,0.01,81.66090546
